LightEngine Log - 2026-06-17 17:48:16
------------------------------------------------------------
[17:48:16] INIT: LightEngine v4.0.0 started
[17:48:16] WEATHER: Weather initialized: fog (20 particles)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (3.1,5.2)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (3.0,5.3)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (2.8,5.4)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (2.7,5.5)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (2.6,5.6)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (2.5,5.7)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (2.4,5.8)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (2.3,5.9)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (2.3,6.0)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (2.2,6.1)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (2.1,6.2)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (2.0,6.2)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (1.9,6.3)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (1.9,6.5)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (1.9,6.6)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (1.9,6.7)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (1.9,6.8)
[17:51:24] BOT_ALERT: Bot#0 spotted player at (1.9,7.0)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,7.1)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,7.3)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,7.4)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,7.6)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,7.7)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,7.8)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,8.0)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,8.1)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,8.2)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,8.4)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,8.5)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,8.6)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,8.7)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,8.9)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,9.0)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,9.1)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,9.2)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,9.4)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,9.5)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,9.6)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,9.8)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,9.9)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,10.0)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,10.3)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,10.4)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,10.6)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,10.7)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,10.8)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,11.0)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,11.1)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,11.2)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,11.3)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,11.5)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,11.6)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (1.9,11.7)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (2.0,11.8)
[17:51:25] BOT_ALERT: Bot#0 spotted player at (2.1,11.9)
[17:51:26] BOT_ALERT: Bot#0 spotted player at (2.2,12.0)
[17:51:26] BOT_ALERT: Bot#0 spotted player at (2.3,12.1)
[17:51:26] BOT_ALERT: Bot#0 spotted player at (2.4,12.2)
[17:51:26] BOT_ALERT: Bot#0 spotted player at (2.5,12.3)
[17:51:26] BOT_ALERT: Bot#0 spotted player at (2.5,12.4)
[17:51:26] BOT_ALERT: Bot#0 spotted player at (2.6,12.5)
[17:51:26] BOT_ALERT: Bot#0 spotted player at (2.7,12.6)
[17:51:26] BOT_ALERT: Bot#0 spotted player at (2.8,12.7)
[17:51:26] BOT_ALERT: Bot#0 spotted player at (2.9,12.8)
[17:51:26] BOT_ALERT: Bot#0 spotted player at (3.0,12.9)
